,Type of user / topic
Community 0:,
alinemghilardi,paleontology
tito_aureliano,paleontology
boringsuchus,paleontology
ruzzibarbara,science
nishi_kazue,science
RenanBantim,paleontology
tainancia,paleontology
Pirulla25,paleontology/science communication
poeirinhadoalem,deleted
THSpike,paleontology, art
,
Community 1:,
PesquisaFapesp,science institution
AllBrPolitics,politics
pifalcao,art
[suspended user],-
meghier,science journalism
mariaguimaraes,science journalism
Flayama,unknown / personal
Rabiaandrea,unknown / personal
eduardoanv,science
kiwizete,unknown / personal
,
Community 2:,
KerberLeonardo,paleontology
PsychoAna_xD,unknown / personal
MosaFabim,unknown / personal
ypsampaio,unknown / personal
PodcastUru,science communication
[suspended user],-
beleemanoelle,science
ThunderingStat1,art
guilbonfim,unknown / personal
Marcellusxzs,science
,
Community 3:,
MMarcosaurus,science
Colecionadores2,paleontology/science communicator
Joseane_sf,paleontology
PaleoBlogBR,paleontology/science communicator
MarcosTeo2,artist
marciolcastro,paleontology/art
Albertossauro,Science communicator
pilgrimcetus_,science
ArqueoPreHist,science communicator
DonSapuArt,art
,
Community 4:,
pansybeast,art
WryCritic,paleontology
_themingau,paleontology/art
MF_gadelha,art
PPaleoartist,paleontology/art
DiAmador4,art
JuliotheArtist,paleontology/art
[suspended user],-
sadtheropod,art
_PaleoGeek_,unknown / personal
,
Community 5:,
FeliPinheir,paleontology
jutyrannus,art
Machado_DSc,science
palaeodaniel,paleontology
rpocisv,science journalism
paleoTsimoes,paleontology
ikessauro,paleontology/science communication
michaelgreshko,science journalism
sedismutabilis,paleontology
GiniMcGinnifer,science
,
,
Community 6:,
BiodiversidadeB,science
smcarvalho42,unknown / personal
giordaness,unknown / personal
GabrielBritozz,art
PerboniRenato,art
[suspended user],-
sr_kenway,unknown / personal
capetaman,unknown / personal
rogandopraga,unknown / personal
pauloal97618063,unknown / personal
,
Community 7:,
Sybylla_,unknown / personal
CamaradaHidalgo,influencer
Nature,science journalism
optimistnotyet,unknown / personal
palominaaaa,unknown / personal
noirsense,deleted
eusoupitoco,unknown / personal
mariposa_bruxa,unknown / personal
CceraLima1,unknown / personal
Devadat53867536,unknown / personal
,
Community 8:,
gomas_redwings,art
qinfernoo,unknown / personal
CatgirlRetweets,bot
anadallago1,unknown / personal
naofodecesa,unknown / personal
BadWanning,deleted
pijamakills_,art
buenoly_,unknown / personal
angayls,unknown / personal
amands2g,unknown / personal
,
Community 9:,
catalina_leite,press
FlavianaJorge,paleontology
ObsNaturalistas,science communication
xicosa,journalist
rarissonso,unknown / personal
louvaadeusa,paleontology
folha,press
Nido_Quing,unknown / personal
Hyte19,unknown / personal
revistapiaui,press
,
Community 10:,
dwnews,press
danimadu,deleted
Camila_18FJ,deleted
LutzLeo,unknown / personal
dw_brasil,press
AmbBrasilia,politics
Alemanha_BR,politics
claramatheus,unknown / personal
Paleoartologist,paleontology/art
[suspended user],-
,
Community 11:,
bioriderjr,unknown / personal
HaruJiggly,unknown / personal
peixeaoquadrado,science communication
MuriloPastana,science
schrarstzhaupt,science
Viniborges78,unknown / personal
anahoi_b,unknown / personal
sandrodias86,unknown / personal
BgWiller,unknown / personal
Hookiz1,unknown / personal
,
Community 12:,
portsmouthuni,university
luizacaires3,science communication
o_weverton,science communication
tupaguerra,science communication
julhamarcolan,science
DensaQue,unknown / personal
flavinhasv,unknown / personal
Debs_Rossetti,unknown / personal
Romillllian,unknown / personal
tauantaiguara,deleted
,
Community 13:,
kalebmelkor,unknown / personal
DaltonPinheiro1,unknown / personal
nenel_leonam,unknown / personal
MeioDeCultura,science communication
feaugui,art
casavoguebrasil,architecture
RealBarone,Music
Brenin_m_b,deleted
O_Necromante,deleted
MapOftheAlly,unknown / personal
,
Community 14:,
mikannn,journalist 
PrazerCambraia,science communication
pteroana,unknown / personal
Vinsevla1,unknown / personal
the_anilson,paleontology
lentevermelha,science communication
_ohcrab,science communication
cidiavas,unknown / personal
EstelaKawaii,unknown / personal
analesnovski,science communication
,
Community 15:,
PaleoCisneros,paleontology 
oTroianoleo,unknown / personal
antoniopedroalb,unknown / personal
[suspended user],-
mauritiantales,paleontology 
mathchaos,paleontology 
PStewens,paleontology/law
Yara_Haridy,paleontology
PalaeoStephan,paleontology
PhylumBryozoa,paleontology
,
Community 16:,
fedkukso,science journalist
CesarFavacho,science communication
paleoAldo,paleontology
felipecapoccia,art
Rolasta2,unknown / personal
balsedie,paleontology
camila_keiko,unknown / personal
gustavoburin,science
Rocahontas,paleontology
barroso2501,unknown / personal